Player ID,Name,Team,Position,Cost,Total Points,Minutes,Goals Scored,Assists,Clean Sheets,Selected By %,ROI,Points per Minute,PpM ROI
96,Collins,Brentford,2,4.5,49,1811,0,0,4,0.7,10.88888888888889,0.027056874654886803,0.29461930179765633
98,Damsgaard,Brentford,3,5.0,33,970,0,0,3,0.1,6.6,0.03402061855670103,0.22453608247422677
99,Dasilva,Brentford,3,5.0,81,1371,4,2,5,0.4,16.2,0.05908096280087528,0.9571115973741794
103,Henry,Brentford,2,4.5,112,3240,0,3,11,5.8,24.88888888888889,0.0345679012345679,0.8603566529492455
104,Hickey,Brentford,2,4.5,63,1918,0,3,5,0.4,14.0,0.032846715328467155,0.45985401459854014
105,Janelt,Brentford,3,5.5,85,2201,3,1,8,0.1,15.454545454545455,0.03861880963198546,0.5968361488579571
106,Jensen,Brentford,3,5.5,132,2805,5,7,10,0.9,24.0,0.047058823529411764,1.1294117647058823
108,Mbeumo,Brentford,3,6.5,150,2905,9,9,10,27.6,23.076923076923077,0.05163511187607573,1.1915795048325168
109,Mee,Brentford,2,5.0,143,3269,3,2,12,7.3,28.6,0.043744264301009486,1.2510859590088714
110,Nørgaard,Brentford,3,5.5,71,1763,1,6,6,0.2,12.909090909090908,0.04027226318774816,0.5198783066054762
111,Onyeka,Brentford,3,5.0,38,837,0,3,3,0.0,7.6,0.04540023894862605,0.34504181600955797
112,Pinnock,Brentford,2,4.5,112,2700,3,0,10,1.8,24.88888888888889,0.04148148148148148,1.0324279835390946
113,Raya,Brentford,1,5.0,166,3420,0,0,12,11.2,33.2,0.048538011695906436,1.6114619883040937
114,Roerslev,Brentford,2,4.5,48,1101,0,0,5,0.1,10.666666666666666,0.043596730245231606,0.46503178928247046
115,Schade,Brentford,3,5.5,29,723,0,1,3,0.3,5.2727272727272725,0.040110650069156296,0.21149251854646045
117,Toney,Brentford,4,8.0,182,2953,20,4,10,0.6,22.75,0.06163223840162547,1.4021334236369793
119,Wissa,Brentford,4,6.0,111,1587,7,4,7,3.3,18.5,0.06994328922495274,1.2939508506616257
121,Zanka,Brentford,2,4.5,45,1097,0,1,4,0.2,10.0,0.04102096627164995,0.4102096627164995
125,Buonanotte,Brighton,3,5.0,26,558,1,1,1,0.1,5.2,0.04659498207885305,0.24229390681003588
126,Caicedo,Brighton,3,5.0,79,3138,1,1,10,2.2,15.8,0.02517527087316762,0.3977692797960484
129,Dunk,Brighton,2,5.0,112,3240,1,1,12,2.9,22.4,0.0345679012345679,0.7743209876543209
130,Enciso,Brighton,3,5.5,57,794,4,3,4,11.9,10.363636363636363,0.07178841309823678,0.7439890084726356
131,Estupiñan,Brighton,2,5.0,128,2674,1,7,10,51.2,25.6,0.04786836200448766,1.2254300673148841
132,Ferguson,Brighton,4,6.0,65,942,6,2,6,13.8,10.833333333333334,0.06900212314225053,0.7475230007077142
133,Gilmour,Brighton,3,5.0,21,502,0,1,2,0.1,4.2,0.04183266932270916,0.17569721115537848
134,Gross,Brighton,3,6.5,159,3240,9,8,11,4.4,24.46153846153846,0.049074074074074076,1.2004273504273504
138,Lallana,Brighton,3,5.0,47,717,2,1,5,0.1,9.4,0.06555090655509066,0.6161785216178522
140,March,Brighton,3,6.5,147,2719,6,10,10,3.2,22.615384615384617,0.054063994115483634,1.222678020765553
142,Milner,Brighton,3,5.0,42,889,0,1,3,0.2,8.4,0.047244094488188976,0.3968503937007874
143,Mitoma,Brighton,3,6.5,138,2311,7,9,8,39.3,21.23076923076923,0.0597144093466032,1.2677828445894217
145,Sanchez,Brighton,1,4.5,82,2070,0,0,6,5.2,18.22222222222222,0.03961352657004831,0.7218464841653247
148,Steele,Brighton,1,4.5,65,1350,0,1,6,6.6,14.444444444444445,0.04814814814814815,0.6954732510288066
