Player ID,Name,Team,Position,Cost,Total Points,Minutes,Goals Scored,Assists,Clean Sheets,Selected By %,Status,ROI,Points per Minute,PpM ROI
411,Gillespie,Newcastle,1,4.0,0,0,0,0,0,0.1,a,0.0,,
412,Gordon,Newcastle,3,5.5,68,1574,4,0,4,0.4,a,12.363636363636363,0.043202033036848796,0.5341342266374033
413,Hayden,Newcastle,3,4.5,0,0,0,0,0,0.1,a,0.0,,
414,Hendrick,Newcastle,3,4.5,0,0,0,0,0,0.1,a,0.0,,
415,Isak,Newcastle,4,7.5,100,1520,10,2,4,12.5,a,13.333333333333334,0.06578947368421052,0.8771929824561403
416,Joelinton,Newcastle,3,6.0,115,2660,6,5,11,1.2,a,19.166666666666668,0.043233082706766915,0.8286340852130326
417,Krafth,Newcastle,2,4.5,1,1,0,0,0,0.1,a,0.2222222222222222,1.0,0.2222222222222222
418,Kuol,Newcastle,3,4.5,0,0,0,0,0,0.0,a,0.0,,
419,Lascelles,Newcastle,2,4.0,3,214,0,0,0,0.3,a,0.75,0.014018691588785047,0.010514018691588784
420,J.Lewis,Newcastle,2,4.0,2,9,0,0,0,0.2,a,0.5,0.2222222222222222,0.1111111111111111
421,Longstaff,Newcastle,3,5.0,93,2514,1,5,13,0.2,a,18.6,0.03699284009546539,0.6880668257756564
422,Manquillo,Newcastle,2,4.0,4,34,0,0,0,0.2,a,1.0,0.11764705882352941,0.11764705882352941
423,Murphy,Newcastle,3,5.0,78,1230,4,2,3,0.3,a,15.6,0.06341463414634146,0.9892682926829268
424,Pope,Newcastle,1,5.5,157,3261,0,0,14,13.6,a,28.545454545454547,0.048144740877031585,1.3743135123079926
425,Ritchie,Newcastle,3,4.5,7,35,0,0,0,0.1,a,1.5555555555555556,0.2,0.3111111111111111
426,Saint-Maximin,Newcastle,3,6.0,66,1109,1,6,4,0.9,a,11.0,0.059513074842200184,0.654643823264202
427,Schär,Newcastle,2,5.0,139,3207,1,3,15,4.7,a,27.8,0.04334268787028375,1.2049267227938885
428,Targett,Newcastle,2,4.5,35,600,0,0,3,0.2,a,7.777777777777778,0.058333333333333334,0.4537037037037037
429,Tonali,Newcastle,3,5.5,0,0,0,0,0,2.5,a,0.0,,
430,Trippier,Newcastle,2,6.5,198,3342,1,9,16,34.0,a,30.46153846153846,0.059245960502693,1.8047231045435712
431,Watts,Newcastle,2,4.0,0,0,0,0,0,1.1,a,0.0,,
432,Willock,Newcastle,3,5.5,123,2556,3,7,12,1.0,a,22.363636363636363,0.04812206572769953,1.0761843790012804
433,Wilson,Newcastle,4,8.0,157,1870,18,6,10,10.5,a,19.625,0.0839572192513369,1.6476604278074867
580,Karius,Newcastle,1,4.0,0,0,0,0,0,0.0,a,0.0,,
581,Dummett,Newcastle,2,4.0,0,0,0,0,0,0.0,a,0.0,,
434,B.Aguilera,Nott'm Forest,3,4.5,0,0,0,0,0,0.1,a,0.0,,
435,Arter,Nott'm Forest,3,4.5,0,0,0,0,0,0.1,a,0.0,,
436,Aurier,Nott'm Forest,2,4.5,70,1943,1,0,6,0.4,a,15.555555555555555,0.03602676273803397,0.5604163092583062
437,Awoniyi,Nott'm Forest,4,6.5,100,1395,10,1,5,1.8,a,15.384615384615385,0.07168458781362007,1.1028398125172318
438,Biancone,Nott'm Forest,2,4.0,2,15,0,0,0,0.2,a,0.5,0.13333333333333333,0.06666666666666667
439,Boly,Nott'm Forest,2,4.5,37,684,0,1,3,0.2,a,8.222222222222221,0.054093567251461985,0.44476933073424296
440,Bowler,Nott'm Forest,3,4.5,0,0,0,0,0,0.0,a,0.0,,
441,Cook,Nott'm Forest,2,4.5,20,956,0,0,2,0.1,a,4.444444444444445,0.02092050209205021,0.09298000929800093
442,Danilo,Nott'm Forest,3,5.5,48,976,3,2,1,0.2,a,8.727272727272727,0.04918032786885246,0.4292101341281669
443,Dennis,Nott'm Forest,4,5.0,39,709,2,2,1,0.6,a,7.8,0.05500705218617771,0.42905500705218613
444,Dräger,Nott'm Forest,2,4.0,0,0,0,0,0,0.2,a,0.0,,
445,Felipe,Nott'm Forest,2,4.5,25,1417,0,1,1,0.2,a,5.555555555555555,0.017642907551164433,0.09801615306202463
446,Freuler,Nott'm Forest,3,5.0,54,2157,0,0,6,0.0,a,10.8,0.025034770514603615,0.27037552155771905
447,Gibbs-White,Nott'm Forest,3,6.0,145,3151,5,12,8,4.3,a,24.166666666666668,0.04601713741669311,1.112080820903417
448,Hennessey,Nott'm Forest,1,4.0,8,271,0,0,0,1.1,a,2.0,0.02952029520295203,0.05904059040590406
449,Horvath,Nott'm Forest,1,4.5,0,0,0,0,0,0.3,a,0.0,,
450,Johnson,Nott'm Forest,3,6.0,122,2930,8,5,7,0.9,a,20.333333333333332,0.041638225255972695,0.8466439135381114
451,Kouyaté,Nott'm Forest,3,5.0,35,871,1,0,2,0.0,a,7.0,0.040183696900114814,0.2812858783008037
452,Laryea,Nott'm Forest,2,4.5,0,0,0,0,0,0.1,a,0.0,,
453,Mangala,Nott'm Forest,3,5.0,50,1543,1,1,5,0.0,a,10.0,0.03240440699935191,0.3240440699935191
454,Mbe Soh,Nott'm Forest,2,4.0,0,0,0,0,0,0.2,a,0.0,,
455,McKenna,Nott'm Forest,2,4.5,40,1570,0,0,5,0.1,a,8.88888888888889,0.025477707006369428,0.2264685067232838
456,Mighten,Nott'm Forest,3,4.5,1,7,0,0,0,0.0,a,0.2222222222222222,0.14285714285714285,0.031746031746031744
457,Niakhaté,Nott'm Forest,2,4.5,25,1163,0,0,2,0.2,a,5.555555555555555,0.021496130696474634,0.11942294831374796
458,O'Brien,Nott'm Forest,3,5.0,22,578,1,0,1,0.0,a,4.4,0.03806228373702422,0.1674740484429066
459,Ojeda,Nott'm Forest,3,4.5,0,0,0,0,0,0.0,a,0.0,,
460,Panzo,Nott'm Forest,2,4.0,0,0,0,0,0,0.2,a,0.0,,
461,O.Richards,Nott'm Forest,2,4.5,0,0,0,0,0,0.1,a,0.0,,
462,G.Scarpa,Nott'm Forest,3,4.5,5,177,0,0,0,0.1,a,1.1111111111111112,0.02824858757062147,0.031387319522912745
463,Shelvey,Nott'm Forest,3,5.0,16,573,0,0,1,0.0,a,3.2,0.027923211169284468,0.0893542757417103
464,Surridge,Nott'm Forest,4,4.5,26,306,1,0,0,10.6,a,5.777777777777778,0.08496732026143791,0.49092229484386346
465,Toffolo,Nott'm Forest,2,4.5,30,933,0,0,2,0.1,a,6.666666666666667,0.03215434083601286,0.21436227224008575
466,Ui-jo,Nott'm Forest,4,4.5,0,0,0,0,0,0.4,a,0.0,,
467,Williams,Nott'm Forest,2,4.5,54,1872,1,1,4,0.4,a,12.0,0.028846153846153848,0.34615384615384615
468,Wood,Nott'm Forest,4,5.0,53,807,3,0,4,0.5,a,10.6,0.06567534076827757,0.6961586121437422
469,Worrall,Nott'm Forest,2,4.5,61,2215,1,0,5,0.1,a,13.555555555555555,0.027539503386004513,0.3733132681213945
470,Yates,Nott'm Forest,3,5.0,53,1833,0,3,5,0.1,a,10.6,0.028914348063284235,0.30649208947081286
471,Ahmedhodžić,Sheffield Utd,2,4.5,0,0,0,0,0,1.0,a,0.0,,
472,Amissah,Sheffield Utd,1,4.0,0,0,0,0,0,0.5,a,0.0,,
473,Baldock,Sheffield Utd,2,4.0,0,0,0,0,0,6.2,a,0.0,,
474,Basham,Sheffield Utd,2,4.0,0,0,0,0,0,0.5,a,0.0,,
